id,text,label,pred_label,pred_confidence,suggested_error_group,student_note
31245,"mickey rourke hunts diane lane in elmore leonard ' s killshot it is not like mickey rourke ever really disappeared . he has had a steady string of appearances before he burst back on the scene . he was memorable in : domino , sin city , man on fire , once upon a time in mexico , and get carter . but in his powerful dramatic performance in the wrestler ( 2008 ) , we see a full blown presentation of the character only hinted at in get carter . whenever we get to know him , rourke remains a cool , but sleazy , muscle bound slim ball . this is an elmore leonard story , and production . leonard wrote such notable movies as taunt western thriller 3 : 10 to yuma , be cool , jackie brown , get shorty , 52 pick - up , and joe kidd . this means that we get tough guys , some good , some not so good . it also means we get tight , realistic plots with characters doing what is best for them in each situation , weaving complications into violent conclusions . killshot is no different . tough , slim ball killer rourke stalks unhappily married witness lane . think history of violence meets no country for old men . it is not as intense , bloody or gory as those two , but it is almost as good . if you like those two , including david croneberg ' s equally wonderful eastern promises , you will like killshot also . director john madden has not done a lot of movies . his last few were enjoyable , if not successful : proof , captain corelli ' s mandolin and shakespeare in love . diana lane hasn ' t had a powerful movie role since she and richard gere gave incredible performances in unfaithful . lately she is charming and appealing in romantic stories such as nights in rodanthe , must love dogs , and under the tuscan sun . here she is right on mark , balancing her sexy appeal with reserved tension . this is a small part for rosario dawson . yet dawson does a good job with it . you see a lot more of lane , including an underwear scene to rival sigourney weaver in aliens and nicole kidman in eyes wide shut . while you are in the crime drama section , also pick up kiss , kiss , bang , bang , and gone baby gone , and before the devil knows your dead . the last has wonderful performances by phillip seymour hoffman , ethan hawke , marisa tomei and albert finney . killshot flopped at the box office . more is our luck . it is certainly worth a 3 - 4 dollar rental , if you like this genre . 6 / 20 / 2009",negative,positive,0.9994057846854038,,
37061,"this movie was pure genius . john waters is brilliant . it is hilarious and i am not sick of it even after seeing it about 20 times since i bought it a few months ago . the acting is great , although ricki lake could have been better . and johnny depp is magnificent . he is such a beautiful man and a very talented actor . and seeing most of johnny ' s movies , this is probably my favorite . i give it 9 . 5 / 10 . rent it today !",negative,positive,0.9989520239649646,,
8347,"despite the excellent cast , this is an unremarkable film , especially from the aviation perspective . it may be somewhat better than the egregious "" von richthofen and brown "" but not by much . "" blue max "" remains the best of a small market over the last 35 years while "" darling lilli "" is fun if not taken seriously . it ' s interesting to speculate what ilm could do with zeppelins and gothas in a new , high - quality ww i aero film .",negative,positive,0.9980827207862596,,
17596,"hardly a masterpiece . not so well written . beautiful cinematography i think not . this movie wasn ' t too terrible but it wasn ' t that much better than average . the main story dealing with highly immoral teens should have focused more on the forbidden romance and why this was . . . should have really gotten into it instead of scraping the surface with basically "" because mom says we can ' t . "" some parts should have been dropped altogether or reworked to have more importance to the plight of the two main characters . couple times i was wondering if the writer / director was a fan of george lucas ' classic american graffiti . not that it ' s wrong to be a fan of that movie but to make your movie at times look like that , i mean come on ! worst part of this was that madchen amick had such a small part , i mean double come on ! ! she was the only one , in one or two lines , who actually tried a southern accent . ( take a good listen , it was there even though her character was from california ! doh ! ! ) maybe if she was the star others could have followed and we would have had a more authentically sounding movie . oh well , what can ya do when you have a director who ' s just a director and not an artist , also . too bad . overall i give this a b - and that ' s being a little generous ' cause i ' m partial to ms . amick .",positive,negative,0.9931614814205011,,
34543,"lois weber ' s film "" hypocrites "" was and still kind of is a very bold and daring film . i enjoyed it and was very impressed by the filming and story of it . the priest sees the hypocrisy of the people in his church and tries to show them the "" naked "" truth . the people are appalled when he reveals the naked statue portraying truth , after failing to lead them to it and the few that did , help along the way . the people do not want to face the truth that they are doing anything wrong , but it shows them putting things before god , going to beach parties acting inappropriate , their materialistic ways , and other things in which the people of our world do that tend to not be morally right . in the end , failing to gain any followers , he must enter into the gates of heaven alone . this film seems to me to be very bold , in the fact that a naked woman is shown throughout it , especially considering the time period in which this film was made . the imagery and symbolism portrayed in this movie i found incredible . the way they made the naked woman translucent and using a naked woman to symbolize the naked truth shows a lot of creativity and art . showing the different sins of the people as they walked down the road and refused to follow along the path , each with different excuses , setbacks , and / or higher priorities , was a great way of representing the people of today . this film does a very good job of getting the moral message across to its audience . lois weber has a tremendous way of capturing her spectators ' attention with her creativity , symbolism , visuals , and through auditory . even the music of the piano throughout this film is very beautiful and fitting with the whole theme .",negative,positive,0.9910058058257163,,
4648,"i have watched this movie a few times and never really thought it was that funny , but it ' s still fun to watch and good for a few laughs . its about women that work at a company and their boss is a jerk and they end up giving him a taste of his own medicine , and try to get the respect they deserve . the acting is really good . dabney coleman is one of those 80 ' s stars that plays a good bad guy , not really evil , just unlikeable . dolly partin is lovable and fun to watch in comedies and her down south wit really shines here . jane fonda is so - so and does little for me . lily tomlin is the best thing about this movie , she has the funniest lines and made me laugh out loud several times , gotta love her . i could recommend this to anyone that likes 80 ' s comedy . i like the movie but it has things about it that i don ' t like . it starts off great and has a nice flow and then everything starts coming together all at once and made me care less about the characters . they all have little fantasies about what they would like to do the boss and although ' cute ' i just thought it slowed down the flow of the movie . as the movie goes on it once again picks up and the funniest things happen and then once again it slows down , only to wrap up in a quick manner thats too good to be true . 4 out of 10 stars , but give it a try if you haven ' t seen it . i think depending on ones mood it may be more or less likable .",negative,positive,0.9905493513307819,,
8659,"i was unsure whether or not andy sidaris could repeat his success with the cinematic hit "" malibu express . "" with his film fit to kill he has proved that sidaris is a serious filmmaker and not just a one - shot director . the plot written by sidaris , which was ungratefully passed up by the academy , is a complex screenplay involving many unseen twists and turns . the main characters composed work for a sexually based radio station known as ksxy . cleverly , ksxy is actually their secret headquarters . in "" fit to kill "" they confront their long - time nemesis kane , who is trying to steal one of russia ' s most prized diamonds . a well - written screenplay is not all , excellent acting by the cast helps to ensure this film as a cult classic . panned by the critics and the box office , this film will be appreciated in years to come . it is now suffering the same fate as clockwork orange and taxi driver did , but in the future will undoubtly become recognized . i am disappointed no critic circles have recognized andy sidaris ' s trademark filmmaking . the costumes , the special effects , all help to compliment this already beautiful piece of filmmaking . it may do you best to ignore the dismal 3 rating on this film and go out and rent it for yourself . my personal rating is 10 / 10 . the drama is as thick as the blockbuster runaway bride , and the action better or equal to the cinematic masterpiece last action hero . andy , keep up the good work .",negative,positive,0.984841487174435,,
36707,"this has to be one of the all time greatest horror movies . charles band made the best movie of 96 ' in this little seen gem . highly realistic and , incredibly stylised - with a visual flair david fincher would envy , its not hard to see why band went on to make such classics as ' killjoy 2 : deliverance from evil ' , ' the regina pierce affair ' , ' virgins of sherwood forest ' , and ' timegate : tales of the saddle tramps ' . with a highly sophisticated story - a tiny body with a large head controls a family of weirdos who perform experiments on naked women , this movie may be a bit too much for younger viewers and is only for the most educated type of viewer , but for those who see it , band is able to convey subtle messages about the human condition through his masterpiece . the head is symbolic of the lost love and longing for one ' s inner self that we all must face at one point or another , and for this reason i was able to engage with this film on a deeply personal level . although many earlier critics have compared band ' s film to re - animator and other lesser works , this stands head and heels above the rest . it is gorier , but not pointlessly . the gore in this film is well crafted and used to enhance the storyline , rather than to just get a cheap shriek out of the audience . also , the special effects in this film are absolutely top notch , easily the best work done in a horror film since . . . well . . . ever ! the work in this film makes savini ' s effects look like the work of a blind , limbless hobo . the only problem i have with this film is the copious amounts of full frontal nudity , which were ultimately unnecessary in achieving the composer ' s goal - to create a timeless epic that would forever go down in history as possibly the greatest film of all time . if it were not for this slight problem i would have given this film a perfect 10 .",negative,positive,0.9809636184710812,,
29148,apparently i am swimming against the tide of the glowing comments on this film . i have not seen it since i was 4 or 5 years old but there is one thing i remember distinctly . . . the bunyip was terrifying ! ! ! nightmare inducing terrifying . with the creepy music and the little girl and kangaroo running / hopping away for their lives . . . as a kid i also remember the animated hobbit . . . no worries . watership down ? didn ' t blink an eye . dot and the kangaroo ? it still haunts my dreams . and i have several friends the same age who also think it was massively creepy . maybe we can get a group rate on therapy . in short : one freaky film for its time .,negative,positive,0.9787116377622299,,
11171,"the major flaw with the film is its uninspired script . it plods back and forth between vignettes of bettie ' s story and re - creations of the klaw short films . while the klaw re - creations are well done , it is unnecessary to recreate them in their near entirety . page richards , while not an amazing actress , does a decent job overall . and , at times , she does bear a remarkable resemblance to bettie . also of note is some faithful attention to detail . costumes and clothing well done , as is some of the set direction . the sets are generally sparse and feel stage - y , but do feel of the era . it is sometimes surprisingly well lit , and the color palette was clearly thought - out to give the overall look a vibrant , retro feel .",negative,positive,0.9763120384465384,,
